Title,Authors,Original_Filename,Publication_Date,Category,Description,Is_Paywalled,Is_Downloaded,Source_URL,DOI,_Source
"IEEE Transactions on Audio, Speech, and Language Processing Edics",Unknown Authors,06558818.pdf,2013/01/01,Unsorted,"Transducer modeling and design Transducer calibration and compensation Novel transducers AUD-LMAP Loudspeaker and Microphone Array Signal Processing Far-field and near-field beamforming and array processing Source localization and tracking Time-delay estimation Audio enhancement using transducer arrays Wavefield synthesis Sound field analysis and synthesis AUD-ANCO Active Noise Control Acoustic noise cancellation and suppression Adaptive techniques for feedforward control Feedback control algorithms Multichannel systems AUD-ECHO Echo CancellationSingle-channel and multichannel acoustic echo cancellation Echo path estimation and modeling Echo suppression and dereverberation Double-talk detection Adaptive filter theory for audio applications AUD-AUDI Auditory Modeling and Hearing AidsHuman audition and psychoacoustics Computational auditory scene analysis Perceptual and psychophysical models of audio algorithms and systems Perceptual measures of audio quality Aids for the handicapped (cochlear implants, hearing aids) Binaural hearing AUD-SSEN Audio Source Separation and EnhancementSingle-channel and multichannel source separation Blind deconvolution Noise reduction, compensation, and equalization Audio denoising and restoration AUD-SMCA Spatial and Multichannel AudioSpatial sound analysis and reproduction Spatialization and virtualization Measurement, modeling, and use of head-related transfer functions Crosstalk cancellation and binaural synthesis Artificial reverberation algorithms AUD-ACOD Audio CodingLow bit-rate and high-quality audio coding Scalable and lossless audio coding Spatial audio coding Joint source-channel coding Signal representations for coding Parametric and structured audio coding Psychoacoustic models for coding Objective and subjective quality assessment Error detection, correction, and concealment AUD-ANSY Audio Analysis and SynthesisMusic analysis, modification, and synthesis Models and representations for musical signals Pitch and multi-pitch ...",False,False,https://ieeexplore.ieee.org/ielx7/10376/6508879/06558818.pdf,10.1109/tasl.2013.2273051,OpenAlex
"IEEE/ACM Transactions on Audio, Speech, and Language Processing - EDICS",Unknown Authors,06716128.pdf,2014/01/01,Unsorted,"Transducer modeling and design Transducer calibration and compensation Novel transducers AUD-LMAP Loudspeaker and Microphone Array Signal Processing Far-field and near-field beamforming and array processing Source localization and tracking Time-delay estimation Audio enhancement using transducer arrays Wavefield synthesis Sound field analysis and synthesis AUD-ANCO Active Noise Control Acoustic noise cancellation and suppression Adaptive techniques for feedforward control Feedback control algorithms Multichannel systems AUD-ECHO Echo CancellationSingle-channel and multichannel acoustic echo cancellation Echo path estimation and modeling Echo suppression and dereverberation Double-talk detection Adaptive filter theory for audio applications AUD-AUDI Auditory Modeling and Hearing AidsHuman audition and psychoacoustics Computational auditory scene analysis Perceptual and psychophysical models of audio algorithms and systems Perceptual measures of audio quality Aids for the handicapped (cochlear implants, hearing aids) Binaural hearing AUD-SSEN Audio Source Separation and EnhancementSingle-channel and multichannel source separation Blind deconvolution Noise reduction, compensation, and equalization Audio denoising and restoration AUD-SMCA Spatial and Multichannel AudioSpatial sound analysis and reproduction Spatialization and virtualization Measurement, modeling, and use of head-related transfer functions Crosstalk cancellation and binaural synthesis Artificial reverberation algorithms AUD-ACOD Audio CodingLow bit-rate and high-quality audio coding Scalable and lossless audio coding Spatial audio coding Joint source-channel coding Signal representations for coding Parametric and structured audio coding Psychoacoustic models for coding Objective and subjective quality assessment Error detection, correction, and concealment AUD-ANSY Audio Analysis and SynthesisMusic analysis, modification, and synthesis Models and representations for musical signals Pitch and multi-pitch ...",False,False,https://ieeexplore.ieee.org/ielx7/6570655/6701198/06716128.pdf,10.1109/taslp.2014.2300358,OpenAlex
Binaural Ambisonics: Its optimization and applications for auralization,"Makoto Otani, Haruki Shigetani, Masataka Mitsuishi, Ryo Matsuda",_pdf.pdf,2020/01/01,Unsorted,"To better understand acoustic environment and the resulting auditory perception, it is essential to capture, analyze, and reproduce a sound field as a three-dimensional physical phenomenon because spatial aspects of auditory perception play important roles in various situations in our lives. Some approaches have been proposed to achieve the three-dimensional capture and reproduction of acoustic fields. Among them, Higher-Order Ambisonics (HOA) based on spherical harmonics expansion enables the capture and reproduction of a directivity pattern of incoming sound waves. On the basis of HOA, three-dimensional auditory space can be presented to a listener typically via a spherical loudspeaker array. In addition, binaural synthesis emulating the loudspeaker presentation enables HOA reproduction with a set of headphones or several loudspeakers by employing crosstalk cancellation. Thus, we are developing an HOA-based binaural reproduction/auralization system with head tracking. This system is aimed at realizing the reproduction and auralization of a sound field, including one excited by the listener's own voice. In this paper, we review the topics related to the reproduction and auralization of the sound field and introduce the HOA-based binaural synthesis system we have developed, as well as our works on sweet-spot expansion in HOA decoding and self-voice reproduction/auralization.",False,False,https://www.jstage.jst.go.jp/article/ast/41/1/41_E19229/_pdf,10.1250/ast.41.142,OpenAlex
An Efficient Implementation of Parallel Parametric HRTF Models for Binaural Sound Synthesis in Mobile Multimedia,"Jose A. Belloch, Germán Ramos, José M. Badía, Máximo Cobos",09028216.pdf,2020/01/01,Unsorted,"The extended use of mobile multimedia devices in applications like gaming, 3D video and audio reproduction, immersive teleconferencing, or virtual and augmented reality, is demanding efficient algorithms and methodologies. All these applications require real-time spatial audio engines with the capability of dealing with intensive signal processing operations while facing a number of constraints related to computational cost, latency and energy consumption. Most mobile multimedia devices include a Graphics Processing Unit (GPU) that is primarily used to accelerate video processing tasks, providing high computational capabilities due to its inherent parallel architecture. This paper describes a scalable parallel implementation of a real-time binaural audio engine for GPU-equipped mobile devices. The engine is based on a set of head-related transfer functions (HRTFs) modelled with a parametric parallel structure, allowing efficient synthesis and interpolation while reducing the size required for HRTF data storage. Several strategies to optimize the GPU implementation are evaluated over a well-known kind of processor present in a wide range of mobile devices. In this context, we analyze both the energy consumption and real-time capabilities of the system by exploring different GPU and CPU configuration alternatives. Moreover, the implementation has been conducted using the OpenCL framework, guarantying the portability of the code.",False,False,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09028216.pdf,10.1109/access.2020.2979489,OpenAlex
Head-Related Transfer Functions and Virtual Auditory Display,"Xiaoli Zhong, Bosun Xie",45612.pdf,2014/01/01,Unsorted,,False,False,https://www.intechopen.com/citation-pdf-url/45612,10.5772/56907,OpenAlex
"Immersive audio, capture, transport, and rendering: a review",Xuejing Sun,div-class-title-immersive-audio-capture-transport-and-rendering-a-review-div.pdf,2021/01/01,Unsorted,"Immersive audio has received significant attention in the past decade. The emergence of a few groundbreaking systems and events (Dolby Atmos, MPEG-H, VR/AR, AI) contributes to reshaping the landscape of this field, accelerating the mass market adoption of immersive audio. This review serves as a quick recap of some immersive audio background, end to end workflow, covering audio capture, compression, and rendering. The technical aspects of object audio and ambisonic will be explored, as well as other related topics such as binauralization, virtual surround, and upmix. Industry trends and applications are also discussed where user experience ultimately decides the future direction of the immersive audio technologies.",False,False,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A39094D58238A0F66750D48362D5FF17/S2048770321000123a.pdf/div-class-title-immersive-audio-capture-transport-and-rendering-a-review-div.pdf,10.1017/atsip.2021.12,OpenAlex
The Availability of a Hidden Real Reference Affects the Plausibility of Position-Dynamic Auditory AR,"Annika Neidhardt, Anna Maria Zerlik",pdf.pdf,2021/01/01,Unsorted,"This study examines the plausibility of Auditory Augmented Reality (AAR) realized with position-dynamic binaural synthesis over headphones. An established method to evaluate the plausibility of AAR asks participants to decide whether they are listening to the virtual or real version of the sound object. To date, this method has only been used to evaluate AAR systems for seated listeners. The AAR realization examined in this study instead allows listeners to turn to arbitrary directions and walk towards, past, and away from a real loudspeaker that reproduced sound only virtually. The experiment was conducted in two parts. In the first part, the subjects were asked whether they are listening to the real or the virtual version, not knowing that it was always the virtual version. In the second part, the real versions of the scenes where the loudspeaker actually reproduced sound were added. Two different source positions, three different test stimuli, and two different sound levels were considered. Seventeen volunteers, including five experts, participated. In the first part, none of the participants noticed that the virtual reproduction was active throughout the different test scenes. The inexperienced listeners tended to accept the virtual reproduction as real, while experts distributed their answers approximately equally. In the second part, experts could identify the virtual version quite reliably. For inexperienced listeners, the individual results varied enormously. Since the presence of the headphones influences the perception of the real sound field, this shadowing effect had to be considered in the creation of the virtual sound source as well. This requirement still limits test methods considering the real version in its ecological validity. Although the results indicate that the availability of a hidden real reference leads to a more critical evaluation, it is crucial to be aware that the presence of the headphones slightly distorts the reference. This issue se...",False,False,https://www.frontiersin.org/articles/10.3389/frvir.2021.678875/pdf,10.3389/frvir.2021.678875,OpenAlex
Design and Implementation Analysis of OSD based Audio Crosstalk Cancellation with Multi-Channel Inputs on DSP Processors,"Ch. Sreenivasa Rao, Dhulipalla Venkata Rao, S. Lakshminarayana",Article9.pdf,2015/01/01,Unsorted,"To overcome the basic system inversion problems in conventional crosstalk cancellation systems, the three channel Optimum Source Distribution (OSD) was developed by Takashi et al., that provides balance between in-phase and out of phase components. The main difficulty in this system is real-time implementation of cross talk cancellation filters on DSP platforms, particularly when filter lengths are very long with system operates on multichannel inputs. This paper discusses the implementation complexities and proposes an efficient approach to reduce the power consumption. It also discusses efficient usage of available processor memory. By utilizing the processor resources and existing frequency domain techniques, this approach would be one of best methods for long filters. The mathematical model, with efficient design for floating point DSP processors, clearly explains the optimization methods at algorithmic and instruction levels. The computational complexity of the proposed method was measured for various multi-channel input sources and the comparison was shown. The results indicate that the proposed method provides efficient computations than existing methods. Keywords: Convolution, Crosstalk Cancellation, Optimal Source Distribution, Overlap Save Method, Uniform Partitioned Convolution",False,False,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-5/Article9.pdf,10.17485/ijst/2015/v8i5/60708,OpenAlex
SCaLAr – A surrounding spherical cap loudspeaker array for flexible generation and evaluation of virtual acoustic environments,"Florian Pausch, Gottfried Behler, Janina Fels",aacus200030.pdf,2020/01/01,Unsorted,"Introduction : Surrounding spherical loudspeaker arrays facilitate the application of various spatial audio reproduction methods and can be used for a broad range of acoustic measurements and perceptual evaluations. Methods : Installed in an anechoic chamber, the design and implementation of such an array of 68 coaxial loudspeakers, sampling a spherical cap with a radius of 1.35 m on an equal-area grid, is presented. A network-based audio backbone enables low-latency signal transmission with low-noise amplifiers providing a high signal-to-noise ratio. To address batch-to-batch variations, the loudspeaker transfer functions were equalised by individually designed 512-taps finite impulse response filters. Time delays and corresponding level adjustments further helped to minimise radial mounting imperfections. Results : The equalised loudspeaker transfer functions measured under ideal conditions and when mounted, their directivity patterns, and in-situ background noise levels satisfy key criteria towards applicability. Advantages and shortcomings of the selected decoders for panning-based techniques, as well as the influence of loudspeaker positioning errors, are analysed in terms of simulated performance metrics. An evaluation of the achievable channel separation allows deriving recommendations of feasible subset layouts for loudspeaker-based binaural reproduction. Conclusion : The combination of electroacoustic properties, simulated sound field synthesis performance and measured channel separation classifies the system as suitable for its target applications.",False,False,https://acta-acustica.edpsciences.org/articles/aacus/pdf/2020/05/aacus200030.pdf,10.1051/aacus/2020014,OpenAlex
Audio Quality Assessment for Virtual Reality,"Fabian Brinkmann, Stefan Weinzierl",978-3-031-04021-4_5.pdf,2022/01/01,Unsorted,"Abstract A variety of methods for audio quality evaluation are available ranging from classic psychoacoustic methods like alternative forced-choice tests to more recent approaches such as quality taxonomies and plausibility. This chapter introduces methods that are deemed to be relevant for audio evaluation in virtual and augmented reality. It details in how far these methods can directly be used for testing in virtual reality or have to be adapted with respect to specific aspects. In addition, it highlights new areas, for example, quality of experience and presence that arise from audiovisual interactions and the mediation of virtual reality. After briefly introducing 3D audio reproduction approaches for virtual reality, the quality that these approaches can achieve is discussed along with the aspects that influence the quality. The concluding section elaborates on current challenges and hot topics in the field of audio quality evaluation and audio reproduction for virtual reality. To bridge the gap between theory and practice useful resources, software and hardware for 3D audio production and research are pointed out.",False,False,https://link.springer.com/content/pdf/10.1007/978-3-031-04021-4_5.pdf,10.1007/978-3-031-04021-4_5,OpenAlex
Reverberation and its Binaural Reproduction: The Trade-off between Computational Efficiency and Perceived Quality,"Isaac Engel, Lorenzo Picinali",80155.pdf,2022/01/01,Unsorted,"Accurately rendering reverberation is critical to produce realistic binaural audio, particularly in augmented reality applications where virtual objects must blend in seamlessly with real ones. However, rigorously simulating sound waves interacting with the auralised space can be computationally costly, sometimes to the point of being unfeasible in real time applications on resource-limited mobile platforms. Luckily, knowledge of auditory perception can be leveraged to make computational savings without compromising quality. This chapter reviews different approaches and methods for rendering binaural reverberation efficiently, focusing specifically on Ambisonics-based techniques aimed at reducing the spatial resolution of late reverberation components. Potential future research directions in this area are also discussed.",False,False,https://www.intechopen.com/citation-pdf-url/80155,10.5772/intechopen.101940,OpenAlex
Loudspeaker distributions suitable for crosstalk cancellers robust to head rotation,"Cheolsu Han, Takuma Okamoto, Yukio Iwaya, Yôiti Suzuki",_pdf.pdf,2012/01/01,Unsorted,,False,False,https://www.jstage.jst.go.jp/article/ast/33/4/33_E1176/_pdf,10.1250/ast.33.266,OpenAlex
Parametric Coding of Stereo Audio,"Jeroen Breebaart, Steven van de Par, Armin Kohlrausch, Erik Schuijers",ASP.2005.1305.pdf,2005/01/01,Unsorted,,False,False,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1155/ASP.2005.1305,10.1155/asp.2005.1305,OpenAlex
Virtual Reality System with Integrated Sound Field Simulation and Reproduction,"Tobias Lentz, Dirk Schröder, Michael Vorländer, Ingo Assenmacher",70540.pdf,2007/01/01,Unsorted,"A real-time audio rendering system is introduced which combines a full room-specific simulation, dynamic crosstalk cancellation, and multitrack binaural synthesis for virtual acoustical imaging. The system is applicable for any room shape (normal, long, flat, coupled), independent of the a priori assumption of a diffuse sound field. This provides the possibility of simulating indoor or outdoor spatially distributed, freely movable sources and a moving listener in virtual environments. In addition to that, near-to-head sources can be simulated by using measured near-field HRTFs. The reproduction component consists of a headphone-free reproduction by dynamic crosstalk cancellation. The focus of the project is mainly on the integration and interaction of all involved subsystems. It is demonstrated that the system is capable of real-time room simulation and reproduction and, thus, can be used as a reliable platform for further research on VR applications.",False,False,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1155/2007/70540,10.1155/2007/70540,OpenAlex
VR/AR and hearing research: current examples and future challenges,"Lorenzo Picinali, Giso Grimm, Yusuke Hioka, Gavin Kearney, Deborah Johnston, Craig Jin, Laurent Simon, Hannes Wüthrich, Michael Mihocic, Piotr Majdak, Deborah Vickers",000322.pdf,2024/01/01,Unsorted,"A well-known issue in clinical audiology and hearing research is the level of abstraction of traditional experimental assessments and methods, which lack ecological validity and differ significantly from real-life experiences, often resulting in unreliable outcomes.Attempts to deal with this matter by, for example, performing experiments in real-life contexts, can be problematic due to the difficulty of accurately identifying control-specific parameters and events.Virtual and augmented reality (VR/AR) have the potential to provide dynamic and immersive audiovisual experiences that are at the same time realistic and highly controllable.Several successful attempts have been made to create and validate VR-based implementations of standard audiological and linguistic tests, as well as to design procedures and technologies to assess meaningful and ecologically-valid data.Similarly, new viewpoints on auditory perception have been provided by looking at hearing training and auditory sensory augmentation, aiming at improving perceptual skills in tasks such as speech understanding and sound-source localisation.",False,False,https://dael.euracoustics.org/confs/fa2023/data/articles/000322.pdf,10.61782/fa.2023.0322,OpenAlex
Implementation Analysis of Binaural Audio Crosstalk Cancellation on Heterogeneous Parallel Computing platforms using Mixed Non-Uniform Partitioned Convolution,"Chunduri Sreenivasa Rao, Dhulipalla Venkata Rao, Somayajula Lakshminarayana",Article6.pdf,2015/01/01,Unsorted,"As general DSP processors don’t have massive parallel architecture, they are not suitable to implement 3D audio virtual techniques at very long filters due to computational problems. To address these implementation issues of very long filters, an efficient method called Mixed Non-uniform Partitioned Convolution is proposed in this paper for implementing binaural audio crosstalk cancellation on heterogeneous parallel computing platforms. By using massive parallel architecture of heterogeneous platforms, the proposed approach is able to solve computational problems even at filter lengths of 65536 (32-bit floating point). The partitioning scheme followed in this paper is explained in detail to schedule partitions on various compute units of GPU device. The proposed approach was implemented on AMD GPUs using task parallel concept. The instruction level optimization was also provided for complex frequency multiplication and addition using OpenCL. The performance of this approach is compared against the existing techniques proposed by Garcia and Gardener. The cost vs. computational performance tradeoff comparison was given between proposed approach and existing methods. The comparison clearly shows that proposed approach is very efficient at very long filters and requires reasonable cost of implementation in terms of number of compute units. The combination of instruction level and algorithmic level optimizations make the proposed approach more suitable for implementation of not only stereo inputs based audio CTC but also multichannel inputs, particularly at very long filter lengths on parallel computing platforms. Keywords: Crosstalk Cancellation, Heterogeneous Parallel Computing, Mixed Filtering, OpenCL, Partitioned Convolution",False,False,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2015/Issue-33/Article6.pdf,10.17485/ijst/2015/v8i33/80399,OpenAlex
Automotive sound field reproduction using deep optimization with spatial domain constraint,"Qian Yufan, Qu, Tianshu, Wu, Xihong",2509.09149.pdf,2025/01/01,Unsorted,"Sound field reproduction with undistorted sound quality and precise spatial localization is desirable for automotive audio systems. However, the complexity of automotive cabin acoustic environment often necessitates a trade-off between sound quality and spatial accuracy. To overcome this limitation, we propose Spatial Power Map Net (SPMnet), a learning-based sound field reproduction method that improves both sound quality and spatial localization in complex environments. We introduce a spatial power map (SPM) constraint, which characterizes the angular energy distribution of the reproduced field using beamforming. This constraint guides energy toward the intended direction to enhance spatial localization, and is integrated into a multi-channel equalization framework to also improve sound quality under reverberant conditions. To address the resulting non-convexity, deep optimization that use neural networks to solve optimization problems is employed for filter design. Both in situ objective and subjective evaluations confirm that our method enhances sound quality and improves spatial localization within the automotive cabin. Furthermore, we analyze the influence of different audio materials and the arrival angles of the virtual sound source in the reproduced sound field, investigating the potential underlying factors affecting these results.",False,False,https://arxiv.org/pdf/2509.09149,10.48550/arxiv.2509.09149,OpenAlex
